Deal ID,Created Date,Lead Source,Company Name,Contact Email,Country,Industry,Lifecycle Stage,Deal Amount,Sales Rep,Close Date
D-10211,"Oct 30, 2025",Referral,Ironclad Security,ahmed.85@ironcladsecuri.com,canada,healthcare,Closed Lost,"$ 12,000.00",M. Marchlewski,"Jan 09, 2026"
D-10235,05-02-2025,Event,CARGOLINE TRANSPORT,julie.4@cargolinetrans.com,CA,Healthcare,SQL,27500,Sarah O'Connor,
D-10187,09-05-2025,Website, Beaumont Retail Group,Tom.4@Beaumontretail.Com,CA,Banking,mql,0,D. Chen,
D-10349,2025-09-04,Organic Search,Beacon Financial,rita.95@beaconfinancia.com,us,Construction,SQL,"48,000",Sarah OConnor,
D-10231,16-09-2025,Trade Show,Alpine Logistics,julie.81@alpinelogistic.com,Canada,construction,CUSTOMER,8200 $,amine bekkali,2025-09-29
D-10283,04-11-2025,Website, Beacon Financial,marc.96@beaconfinancia.com ,canada,retail,M.Q.L,15500 $,Julie Tremblay,
D-10116,"May 01, 2025",REFERRAL,Atlas Construction,tom.25@atlasconstruct.com ,United States of America,Logistics,mql,12000 $,M. Marchlewski,
D-10383,29-08-2025,Email Marketing,Crestview Manufacturing,yanis.87@crestviewmanuf.com ,CAN,healthcare,M.Q.L,48000,Maciek Marchlewski,
D-10317,2025-09-25,google ads,Zenith Retail,ahmed.19@zenithretail.com,United States of America,Logistics,Customer,-,serkan saricam,2026-01-10
D-10177,2025-06-17,REFERRAL, Vertex Industries,rita.68@vertexindustri.com,USA,Manufacturing,customer,$0,Amine Bekkali,11/05/2025
D-10034,20-07-2025,GOOGLE ADS, Rivière Construction,luc.21@riviereconstru.com,us,Healthcare,opportunity,34000,M. Marchlewski,
D-10198,"Feb 05, 2025",Google Adwords,Northstar Bank ,tom.31@northstarbank.com,CAN,Logistics,M.Q.L,"12,000",Julie Tremblay,
D-10318,08-10-2025,organic,maple grove schools,claire.79@maplegrovescho.com,US,Logistics,LEAD,"$62,000",Serkan Saricam,
D-10072,10/31/2025,Organic Search,CargoLine Transport,marc.25@cargolinetrans.com,United States,Energy,SQL,$0,Sarah OConnor,
D-10397,10-07-2025,SEO,Ville de Saint-Laurent,yanis.90@villedesaint-l.com,CA,Construction,Closed Lost,62000,David Chen,"Oct 25, 2025"
D-10178,2025-04-12,Email Marketing,Summit Healthcare ,yanis.38@summithealthca.com,Canada,Energy,Closed Lost,,Serkan Saricam,19-05-2025
D-10323,2025-07-03,LinkedIn Ads, Ironclad Security,Rita.18@Ironcladsecuri.Com,us,Healthcare,Lead,12000 $,Sarah OConnor,
D-10524,,,,,,,,,,
D-10055,01/26/2025,GOOGLE ADS,atlas construction,tom.14@atlasconstruct.com ,United States,Healthcare,Lead,85000,Sarah OConnor,
D-10163,06/21/2025,Email Marketing,Granite Mining,nadia.14@granitemining.com,US,Energy,Closed Lost,"$ 4,500.00",D. Chen,07/06/2025
D-10227,"Oct 30, 2025",Trade Show,Fraser Health Partners ,claire.11@fraserhealthpa.com,CA,Mining,customer,"21,000",Julie Tremblay,2026-02-26
D-10263,16-07-2025,facebook ads, Collège Lasalle,sarah.17@collegelasalle.com,us,Education,closed lost,48000 $,Amine Bekkali,31-08-2025
D-10332,24-10-2025,Google Ads,Pelican Freight,Marc.50@Pelicanfreight.Com,United States,Manufacturing,sql,,M. Marchlewski,
D-10147,2025-08-19,organic,COLLÈGE LASALLE,julie.48@collegelasalle.com ,CAN,Energy,sql,85000,Serkan Saricam,
D-10380,11-08-2025,Meta,Meridian Bank ,ahmed.81@meridianbank.com ,US,healthcare,mql,"34,000",Amine Bekkali,
D-10493,,,,,,,,,,
D-10197,04/21/2025,GOOGLE ADS,optima clinics,rita.89@optimaclinics.com ,United States of America,Mining,Closed Lost,"$ 48,000.00",M. Marchlewski,"Jun 02, 2025"
D-10291,09/10/2025,facebook ads,atlas construction,rita.59@atlasconstruct.com,United States of America,Retail,mql,$0,David Chen,
D-10256,27-01-2025,Trade-Show, Cedarwood Properties,marc.92@cedarwoodprope.com ,CAN,construction,opportunity,15500 $,amine bekkali,
D-10253,05-04-2025,Organic,BOREAL ENERGY,rita.15@borealenergy.com ,United States of America,Logistics,mql,0,Maciek Marchlewski,
D-10014,2025-04-21,Referral, Rivière Construction,EMMA.89@RIVIERECONSTRU.COM,United States of America,Construction,customer,-,M. Marchlewski,07-05-2025
D-10098,11/01/2025,GOOGLE ADS,Summit Healthcare ,CLAIRE.40@SUMMITHEALTHCA.COM,Canada,retail,LEAD,34000,serkan saricam,
D-10406,"Mar 29, 2025",LinkedIn Ads,CARGOLINE TRANSPORT,EMMA.68@CARGOLINETRANS.COM,CA,Government,MQL,"27,500",D. Chen,
D-10102,2025-02-25,REFERRAL,Cedarwood Properties,luc.4@cedarwoodprope.com ,CA,construction,customer,"$21,000",Serkan Saricam,07/22/2025
D-10074,"Jun 14, 2025",web form, Beacon Financial,Luc.87@Beaconfinancia.Com,us,retail,LEAD,"$4,500",David Chen,
D-10287,"Nov 23, 2025",referal,IRONCLAD SECURITY,TOM.69@IRONCLADSECURI.COM,USA,Healthcare,lead,15500,julie tremblay,
D-10310,05/14/2025,referal, Precision Manufacturing,emma.17@precisionmanuf.com,United States of America,construction,CUSTOMER,"4,500",Sarah O'Connor,2025-07-27
D-10254,17-10-2025,Google-Ads, Cedarwood Properties,yanis.44@cedarwoodprope.com ,CA,Mining,SQL,-,Sarah O'Connor,
D-10440,"Jan 28, 2025",tradeshow,precision manufacturing,SARAH.40@PRECISIONMANUF.COM,us,construction,SQL,$0,julie tremblay,
D-10066,09/01/2025,Organic,Alpine Logistics,marc.30@alpinelogistic.com,CA,Retail,CUSTOMER,"85,000",Sarah O'Connor,"Dec 30, 2025"
D-10479,,,,,,,,,,
D-10442,14-03-2025,LinkedIn,FRASER HEALTH PARTNERS,david.60@fraserhealthpa.com ,CAN,Mining,LEAD,85000 $,Sarah OConnor,
D-10152,"Jun 05, 2025",Direct,TERRA MINING CORP,,USA,Banking,mql,"$48,000",M. Marchlewski,
D-10113,"Apr 18, 2025",Direct,Terra Mining Corp,DAVID.70@TERRAMININGCOR.COM,Canada,Logistics,customer,-,julie tremblay,08/22/2025
D-10299,29-09-2025,googleads, Pelican Freight,NADIA.24@PELICANFREIGHT.COM,US,retail,Closed Lost,"48,000",Amine Bekkali,11/12/2025
D-10371,05/02/2025,Google-Ads,quantum retail,nadia.51@quantumretail.com ,CA,Energy,Lead,48000 $,M. Marchlewski,
D-10258,"Aug 30, 2025",email campaign,Blue Harbour Shipping,julie.76@blueharbourshi.com,us,Healthcare,Closed Lost,15500 $,Amine Bekkali,2025-10-24
D-10070,05/12/2025,REFERRAL, Collège Lasalle,David.95@Collegelasalle.Com,CAN,Construction,M.Q.L,4500,serkan saricam,
D-10049,"Oct 14, 2025",tradeshow,ironclad security,Ahmed.83@Ironcladsecuri.Com,United States,Mining,mql,N/A,Julie Tremblay,
D-10399,2025-06-05,Email,Pelican Freight,ahmed.55@pelicanfreight.com,United States,retail,Closed Lost,"$62,000",amine bekkali,07/07/2025
D-10077,03/30/2025,email campaign,Terra Mining Corp,Luc.74@Terraminingcor.Com,canada,banking,mql,,amine bekkali,
D-10433,2025-09-26,Trade Show,Summit Healthcare,david.41@summithealthca.com,CA,Manufacturing,Closed Lost,"$ 12,000.00",Maciek Marchlewski,02/19/2026
D-10284,07-05-2025,Email,Zenith Retail ,sarah.26@zenithretail.com,US,retail,Lost,"$34,000",Maciek Marchlewski,"Aug 25, 2025"
D-10091,2025-05-10,LINKEDIN ,BEACON FINANCIAL,ahmed.18@beaconfinancia.com,United States,construction,mql,"$21,000",Julie Tremblay,
D-10040,02-10-2025,googleads,Alpine Logistics,rita.65@alpinelogistic.com,United States,healthcare,LEAD,62000 $,Sarah O'Connor,
D-10153,01/26/2025,direct,Ironclad Security,YANIS.37@IRONCLADSECURI.COM,CAN,Education,Closed Lost,"4,500",M. Marchlewski,03/23/2025
D-10037,"Oct 03, 2025",Trade Show, Boreal Energy,tom.30@borealenergy.com,us,Healthcare,mql,"$ 48,000.00",Julie Tremblay,
D-10182,"Oct 31, 2025",Email,Ville de Saint-Laurent,david.81@villedesaint-l.com,Canada,Retail,LEAD,12000,Maciek Marchlewski,
D-10272,24-03-2025,Trade-Show,beaumont retail group,claire.13@beaumontretail.com,us,Government,opportunity,0,Maciek Marchlewski,
D-10150,2025-06-06,Trade Show,Summit Healthcare ,Ahmed.4@Summithealthca.Com,us,Government,Customer,85000,serkan saricam,"Aug 21, 2025"
D-10430,19-03-2025,google ads,Blue Harbour Shipping,NADIA.37@BLUEHARBOURSHI.COM,CAN,Construction,LEAD,"8,200",Amine Bekkali,
D-10264,03-08-2025,facebook ads,Granite Mining,rita.41@granitemining.com,CAN,Energy,Customer,$0,amine bekkali,"Oct 08, 2025"
D-10123,2025-07-09,tradeshow,QUANTUM RETAIL,luc.87@quantumretail.com,canada,Banking,Lead,-,D. Chen,
D-10027,2025-11-21,Meta,IRONCLAD SECURITY,rita.3@ironcladsecuri.com ,canada,retail,opportunity,"$27,500",Julie Tremblay,
D-10304,2025-10-17,Meta, Blue Harbour Shipping,nadia.68@blueharbourshi.com,CA,Retail,SQL,"$ 8,200.00",Amine Bekkali,
D-10039,11/23/2025,Organic, Blue Harbour Shipping,julie.49@blueharbourshi.com ,United States,Retail,Lead,"$ 48,000.00",D. Chen,
D-10417,2025-02-20,Direct,Ville de Saint-Laurent ,julie.34@villedesaint-l.com,us,healthcare,Customer,"$48,000",Sarah OConnor,18-06-2025
D-10541,,,,,,,,,,
D-10436,2025-06-20,Google-Ads, Granite Mining,claire.26@granitemining.com ,USA,banking,closed lost,"$ 15,500.00",Sarah OConnor,"Aug 08, 2025"
D-10249,19-07-2025,googleads,CRESTVIEW MANUFACTURING,yanis.44@crestviewmanuf.com,US,Banking,sql,120000 $,Julie Tremblay,
D-10135,"Mar 06, 2025",Organic Search,IRONCLAD SECURITY,TOM.22@IRONCLADSECURI.COM,United States,Energy,customer,48000,amine bekkali,"Jun 30, 2025"
D-10445,2025-02-05,Trade-Show,SUMMIT HEALTHCARE,julie.31@summithealthca.com,Canada,healthcare,MQL,"$ 4,500.00",Serkan Saricam,
D-10228,"Jan 16, 2025",facebook ads,Northstar Bank,Ahmed.81@Northstarbank.Com,United States,Manufacturing,SQL,N/A,Amine Bekkali,
D-10352,"Aug 26, 2025",Trade Show,laurentide foods,luc.83@laurentidefood.com,CA,Energy,Customer,"$ 34,000.00",D. Chen,05-12-2025
D-10450,"Oct 18, 2025",Google Ads,fraser health partners,marc.92@fraserhealthpa.com,us,Education,Customer,48000 $,Sarah OConnor,17-03-2026
D-10146,"Mar 21, 2025",LinkedIn,Beacon Financial,,us,Construction,Customer,"$85,000",julie tremblay,20-05-2025
D-10010,08-01-2025,Trade Show,CargoLine Transport,EMMA.76@CARGOLINETRANS.COM,CA,Education,mql,"$ 15,500.00",Amine Bekkali,
D-10398,10/29/2025,Website, Meridian Bank,sarah.86@meridianbank.com,us,Mining,Customer,"$ 12,000.00",serkan saricam,14-01-2026
D-10212,15-05-2025,Organic,meridian bank,RITA.15@MERIDIANBANK.COM,CAN,Banking,MQL,"$ 4,500.00",D. Chen,
D-10432,"Aug 21, 2025",Trade Show,Zenith Retail,tom.50@zenithretail.com,Canada,Education,SQL,N/A,David Chen,
D-10401,2025-05-28,GOOGLE ADS,meridian bank,yanis.68@meridianbank.com ,CA,Energy,closed lost,"48,000",Sarah OConnor,"Sep 17, 2025"
D-10004,05-10-2025,Partner Referral,Optima Clinics,claire.8@optimaclinics.com,CAN,Energy,Closed Lost,"85,000",M. Marchlewski,"Feb 11, 2026"
D-10431,2025-08-10,GOOGLE ADS,cedarwood properties,MARC.97@CEDARWOODPROPE.COM,canada,retail,CUSTOMER,"$8,200",amine bekkali,17-10-2025
D-10266,20-10-2025,FB,beacon financial,emma.24@beaconfinancia.com,United States of America,Manufacturing,M.Q.L,21000,M. Marchlewski,
D-10143,14-03-2025,facebook ads,Summit Healthcare,emma.99@summithealthca.com,CA,construction,Opportunity,"$120,000",serkan saricam,
D-10041,2025-07-20,facebook ads,Zenith Retail ,sarah.95@zenithretail.com ,canada,banking,LEAD,"21,000",M. Marchlewski,
D-10452,"Nov 23, 2025",referal,IRONCLAD SECURITY,TOM.69@IRONCLADSECURI.COM,USA,Healthcare,lead,15500,julie tremblay,
D-10024,"Apr 19, 2025",Trade Show,Maple Grove Schools ,Rita.67@Maplegrovescho.Com,canada,Logistics,closed lost,N/A,Maciek Marchlewski,"May 30, 2025"
D-10111,08-04-2025,Referral,VERTEX INDUSTRIES,sarah.86@vertexindustri.com,canada,construction,MQL,21000 $,Maciek Marchlewski,
D-10031,2025-09-19,Referral, Blue Harbour Shipping,YANIS.98@BLUEHARBOURSHI.COM,Canada,Retail,M.Q.L,"8,200",Serkan Saricam,
D-10220,"Nov 09, 2025",Meta,Alpine Logistics,julie.24@alpinelogistic.com,United States of America,retail,CUSTOMER,120000 $,julie tremblay,"Dec 29, 2025"
D-10438,09/09/2025,Linked In,OPTIMA CLINICS,Nadia.8@Optimaclinics.Com,Canada,Manufacturing,customer,4500,Sarah OConnor,12/17/2025
D-10358,2025-08-10,SEO,cedarwood properties,MARC.97@CEDARWOODPROPE.COM,canada,retail,CUSTOMER,"$8,200",amine bekkali,17-10-2025
D-10255,2025-08-18,facebook ads, Northstar Bank,NADIA.33@NORTHSTARBANK.COM,CA,construction,LEAD,27500 $,Julie Tremblay,
D-10345,"Aug 10, 2025",Email Marketing,Maple Grove Schools ,claire.42@maplegrovescho.com,United States,banking,M.Q.L,-,Sarah OConnor,
D-10012,2025-03-24,googleads, Terra Mining Corp,,CAN,banking,MQL,"$ 12,000.00",David Chen,
D-10426,"Feb 02, 2025",Organic,NORDVALE LOGISTICS,claire.83@nordvalelogist.com,us,retail,Lost,"$ 34,000.00",Serkan Saricam,2025-02-22
D-10207,"Jul 15, 2025",LINKEDIN ,Fraser Health Partners,EMMA.62@FRASERHEALTHPA.COM,United States,retail,Lead,-,Sarah OConnor,
D-10268,05-05-2025,Trade Show,Optima Clinics ,marc.21@optimaclinics.com ,United States of America,Manufacturing,Customer,"$ 62,000.00",Maciek Marchlewski,23-06-2025
D-10444,04/13/2025,Google Adwords,Boreal Energy ,sarah.35@borealenergy.com ,Canada,Education,customer,85000 $,David Chen,"Apr 30, 2025"
D-10257,"Apr 20, 2025",email campaign,atlas construction,sarah.92@atlasconstruct.com,United States of America,construction,Customer,"$120,000",D. Chen,"May 20, 2025"
D-10203,11-10-2025,meta ads,Collège Lasalle,tom.63@collegelasalle.com ,canada,Healthcare,Customer,$0,Sarah O'Connor,13-11-2025
D-10046,01/06/2025,Google Ads, Summit Healthcare,luc.41@summithealthca.com,United States,Mining,Customer,"85,000",julie tremblay,2025-04-27
D-10168,05-07-2025,web form,meridian bank,yanis.50@meridianbank.com,USA,Government,M.Q.L,120000,Julie Tremblay,
D-10069,2025-11-19,REFERRAL,OPTIMA CLINICS,AHMED.30@OPTIMACLINICS.COM,United States,Mining,sql,"$ 62,000.00",amine bekkali,
D-10038,09/25/2025,Google Adwords,rivière construction,tom.19@riviereconstru.com,Canada,Retail,Closed Lost,"$ 62,000.00",M. Marchlewski,2025-11-09
D-10437,05/29/2025,Organic Search,Ironclad Security,,CAN,Mining,Lead,,Julie Tremblay,
D-10408,"Jan 20, 2025",Event, Boreal Energy,luc.74@borealenergy.com,USA,Government,Customer,4500 $,Sarah OConnor,02-03-2025
D-10021,10/01/2025,Google Ads,beacon financial,LUC.65@BEACONFINANCIA.COM,CA,Healthcare,Lead,120000 $,M. Marchlewski,
D-10449,16-01-2025,FB,Terra Mining Corp ,David.41@Terraminingcor.Com,us,Manufacturing,customer,"8,200",Julie Tremblay,07-02-2025
D-10016,11/11/2025,LinkedIn,Quantum Retail,marc.36@quantumretail.com ,CAN,Government,customer,"21,000",Maciek Marchlewski,2026-02-22
D-10403,02/16/2025,Linked In,Fraser Health Partners,sarah.60@fraserhealthpa.com,canada,Logistics,opportunity,"$ 12,000.00",M. Marchlewski,
D-10446,04/23/2025,direct,Ironclad Security,Yanis.58@Ironcladsecuri.Com,United States,Construction,LEAD,"$34,000",M. Marchlewski,
D-10273,"Oct 19, 2025",organic, Precision Manufacturing,Ahmed.15@Precisionmanuf.Com,Canada,Retail,closed lost,-,Serkan Saricam,11/26/2025
D-10215,07/15/2025,organic, Atlas Construction,claire.8@atlasconstruct.com ,United States,retail,lead,-,Sarah O'Connor,
D-10033,2025-11-27,Linked In,Optima Clinics ,SARAH.44@OPTIMACLINICS.COM,Canada,retail,mql,"15,500",Sarah OConnor,
D-10271,"Jun 10, 2025",referal,ZENITH RETAIL,julie.26@zenithretail.com ,CAN,banking,LEAD,4500,Julie Tremblay,
D-10114,10-04-2025,referal, Maple Grove Schools,luc.95@maplegrovescho.com ,US,construction,CUSTOMER,"$27,500",Serkan Saricam,2025-07-20
D-10381,03/31/2025,direct,BLUE HARBOUR SHIPPING,marc.12@blueharbourshi.com,CA,healthcare,sql,"27,500",amine bekkali,
D-10176,"Oct 26, 2025",email campaign,TERRA MINING CORP,nadia.65@terraminingcor.com ,us,Energy,mql,4500 $,amine bekkali,
D-10052,01-10-2025,Google-Ads,alpine logistics,sarah.3@alpinelogistic.com ,us,Mining,SQL,"15,500",amine bekkali,
D-10353,03/06/2025,meta ads,Optima Clinics,TOM.87@OPTIMACLINICS.COM,CAN,Construction,opportunity,"$ 120,000.00",Julie Tremblay,
D-10372,12-06-2025,Google-Ads, Beacon Financial,David.65@Beaconfinancia.Com,USA,Manufacturing,mql,"$ 4,500.00",M. Marchlewski,
D-10455,"Aug 30, 2025",EMAIL,Blue Harbour Shipping,julie.76@blueharbourshi.com,us,Healthcare,Closed Lost,15500 $,Amine Bekkali,2025-10-24
D-10154,05/26/2025,Partner Referral,meridian bank,julie.12@meridianbank.com,CAN,Retail,M.Q.L,4500,serkan saricam,
D-10029,2025-05-19,Referral,VILLE DE SAINT-LAURENT,julie.35@villedesaint-l.com,canada,Government,LEAD,34000,Serkan Saricam,
D-10289,26-02-2025,Organic Search,Terra Mining Corp ,Emma.73@Terraminingcor.Com,United States,Mining,CUSTOMER,$0,julie tremblay,2025-06-22
D-10162,06/19/2025,Trade-Show, CargoLine Transport,rita.56@cargolinetrans.com,CAN,Manufacturing,CUSTOMER,"$ 120,000.00",David Chen,12-07-2025
D-10288,"Jun 18, 2025",direct,Ville de Saint-Laurent ,nadia.79@villedesaint-l.com ,Canada,Retail,SQL,120000,M. Marchlewski,
D-10141,"Sep 27, 2025",Event, Boreal Energy,Claire.73@Borealenergy.Com,canada,Construction,mql,"$4,500",Sarah OConnor,
D-10238,08/16/2025,Trade Show,Crestview Manufacturing ,marc.33@crestviewmanuf.com,US,Logistics,sql,"4,500",Julie Tremblay,
D-10366,2025-02-18,GOOGLE ADS, Beaumont Retail Group,Tom.9@Beaumontretail.Com,United States,Energy,mql,"$15,500",Sarah OConnor,
D-10243,01/30/2025,direct,cargoline transport,luc.90@cargolinetrans.com,US,Retail,Customer,,M. Marchlewski,"Mar 11, 2025"
D-10245,16-04-2025,referal,Ville de Saint-Laurent,david.35@villedesaint-l.com,Canada,Construction,lead,"$ 15,500.00",Sarah O'Connor,
D-10396,07/27/2025,Organic,NORDVALE LOGISTICS,emma.3@nordvalelogist.com,CA,Education,mql,"$120,000",David Chen,
D-10307,09/27/2025,Referral,TERRA MINING CORP,AHMED.37@TERRAMININGCOR.COM,CAN,Banking,Lead,21000,Sarah O'Connor,
D-10129,18-03-2025,Facebook,Summit Healthcare,Tom.2@Summithealthca.Com,US,Retail,opportunity,"27,500",julie tremblay,
D-10384,03/29/2025,facebook ads,VILLE DE SAINT-LAURENT,nadia.80@villedesaint-l.com ,USA,retail,SQL,"$21,000",Amine Bekkali,
D-10351,12-03-2025,linkedin, Optima Clinics,luc.85@optimaclinics.com ,Canada,Banking,sql,48000,M. Marchlewski,
D-10300,04/25/2025,Meta,nordvale logistics,tom.31@nordvalelogist.com,CAN,Banking,Opportunity,85000,serkan saricam,
D-10166,2025-08-02,Website,ATLAS CONSTRUCTION,JULIE.66@ATLASCONSTRUCT.COM,United States,Manufacturing,opportunity,8200,D. Chen,
D-10331,13-04-2025,Referral, Alpine Logistics,Tom.43@Alpinelogistic.Com,CA,Retail,LEAD,0,M. Marchlewski,
D-10410,2025-05-07,facebook ads,Northstar Bank,sarah.66@northstarbank.com,Canada,Mining,MQL,"48,000",Serkan Saricam,
D-10251,04/02/2025,GOOGLE ADS,Atlas Construction,yanis.47@atlasconstruct.com,USA,construction,customer,4500,julie tremblay,"May 21, 2025"
D-10196,2025-07-26,Trade-Show, Meridian Bank,rita.12@meridianbank.com ,US,Government,sql,"$ 8,200.00",julie tremblay,
D-10121,03/06/2025,Linked In,Optima Clinics ,yanis.11@optimaclinics.com ,us,Government,MQL,8200 $,Amine Bekkali,
D-10348,"Apr 08, 2025",Event,MERIDIAN BANK,Julie.76@Meridianbank.Com,United States of America,Mining,Opportunity,48000,Sarah OConnor,
D-10451,17-11-2025,Direct,fraser health partners,Nadia.47@Fraserhealthpa.Com,Canada,Education,lead,"8,200",amine bekkali,
D-10327,04/06/2025,tradeshow, Optima Clinics,luc.92@optimaclinics.com,United States,Retail,closed lost,34000,serkan saricam,"Jun 27, 2025"
D-10208,"Jan 10, 2025",REFERRAL,beaumont retail group,Rita.54@Beaumontretail.Com,Canada,Government,M.Q.L,62000,amine bekkali,
D-10340,03/21/2025,Meta,CARGOLINE TRANSPORT,TOM.78@CARGOLINETRANS.COM,Canada,banking,CUSTOMER,"85,000",D. Chen,10-04-2025
D-10394,"Apr 17, 2025",Referral,Ville de Saint-Laurent,ahmed.26@villedesaint-l.com,us,healthcare,customer,N/A,D. Chen,"Jul 19, 2025"
D-10083,2025-01-26,Google-Ads,Quantum Retail,emma.65@quantumretail.com,United States of America,construction,mql,$0,Sarah OConnor,
D-10341,03/18/2025,googleads,Rivière Construction,emma.28@riviereconstru.com,US,Retail,SQL,"8,200",Sarah OConnor,
D-10390,2025-07-23,referal,laurentide foods,,USA,Mining,LEAD,"$ 12,000.00",D. Chen,
D-10298,"Mar 31, 2025",email campaign,terra mining corp,tom.53@terraminingcor.com,USA,construction,M.Q.L,"$62,000",David Chen,
D-10015,"Apr 30, 2025",Meta,Quantum Retail ,yanis.70@quantumretail.com,CAN,Banking,SQL,85000,D. Chen,
D-10239,22-05-2025,Google Adwords,BOREAL ENERGY,SARAH.73@BOREALENERGY.COM,USA,Retail,mql,"120,000",D. Chen,
D-10043,01-09-2025,Google Adwords,GRANITE MINING,david.91@granitemining.com,us,Retail,closed lost,"$85,000",Julie Tremblay,01/29/2026
D-10461,,,,,,,,,,
D-10367,"Oct 05, 2025",tradeshow,atlas construction,julie.90@atlasconstruct.com,USA,retail,Closed Lost,0,Maciek Marchlewski,"Nov 28, 2025"
D-10424,"Mar 06, 2025",Organic Search,IRONCLAD SECURITY,TOM.22@IRONCLADSECURI.COM,United States,Energy,customer,48000,amine bekkali,"Jun 30, 2025"
D-10296,03-09-2025,email campaign, Zenith Retail,Marc.20@Zenithretail.Com,United States of America,Energy,Closed Lost,"$85,000",Julie Tremblay,"Nov 22, 2025"
D-10067,"Aug 29, 2025",LinkedIn Ads,Boreal Energy ,Claire.31@Borealenergy.Com,CAN,construction,customer,"$ 85,000.00",serkan saricam,09/28/2025
D-10104,2025-03-03,Trade Show, Ville de Saint-Laurent,SARAH.90@VILLEDESAINT-L.COM,USA,retail,LEAD,"$ 21,000.00",David Chen,
D-10202,"Feb 11, 2025",Google Adwords,IRONCLAD SECURITY,Claire.47@Ironcladsecuri.Com,USA,Education,lead,N/A,amine bekkali,
D-10115,03/02/2025,email campaign,Nordvale Logistics,Luc.54@Nordvalelogist.Com,us,healthcare,sql,8200 $,M. Marchlewski,
